CF age band,Gender,Age (bin),Department,Job Role,Job Satisfaction,Education,Attrition,Age,Attrition Count,MIN(1)
35 - 44,Female,39,Sales,Sales Executive,4,Associates Degree,Yes,41,1,1
45 - 54,Male,48,R&D,Research Scientist,2,High School,No,49,0,1
35 - 44,Male,36,R&D,Laboratory Technician,3,Associates Degree,Yes,37,1,1
25 - 34,Female,33,R&D,Research Scientist,3,Master's Degree,No,33,0,1
25 - 34,Male,27,R&D,Laboratory Technician,2,High School,No,27,0,1
25 - 34,Male,30,R&D,Laboratory Technician,4,Associates Degree,No,32,0,1
Over 55,Female,57,R&D,Laboratory Technician,1,Bachelor's Degree,No,59,0,1
25 - 34,Male,30,R&D,Laboratory Technician,3,High School,No,30,0,1
35 - 44,Male,36,R&D,Manufacturing Director,3,Bachelor's Degree,No,38,0,1
35 - 44,Male,36,R&D,Healthcare Representative,3,Bachelor's Degree,No,36,0,1
35 - 44,Male,33,R&D,Laboratory Technician,2,Bachelor's Degree,No,35,0,1
25 - 34,Female,27,R&D,Laboratory Technician,3,Associates Degree,No,29,0,1
25 - 34,Male,30,R&D,Research Scientist,3,High School,No,31,0,1
25 - 34,Male,33,R&D,Laboratory Technician,4,Associates Degree,No,34,0,1
25 - 34,Male,27,R&D,Laboratory Technician,3,Bachelor's Degree,Yes,28,1,1
25 - 34,Female,27,R&D,Manufacturing Director,1,Master's Degree,No,29,0,1
25 - 34,Male,30,R&D,Research Scientist,2,Associates Degree,No,32,0,1
Under 25,Male,21,R&D,Laboratory Technician,4,Associates Degree,No,22,0,1
45 - 54,Female,51,Sales,Manager,4,Master's Degree,No,53,0,1
35 - 44,Male,36,R&D,Research Scientist,4,Bachelor's Degree,No,38,0,1
Under 25,Female,24,R&D,Manufacturing Director,3,Associates Degree,No,24,0,1
35 - 44,Male,36,Sales,Sales Representative,1,Master's Degree,Yes,36,1,1
25 - 34,Female,33,R&D,Research Director,2,Master's Degree,No,34,0,1
Under 25,Male,21,R&D,Research Scientist,4,Associates Degree,No,21,0,1
25 - 34,Male,33,R&D,Research Scientist,1,High School,Yes,34,1,1
45 - 54,Female,51,R&D,Manager,3,Bachelor's Degree,No,53,0,1
25 - 34,Female,30,R&D,Research Scientist,1,High School,Yes,32,1,1
35 - 44,Male,42,Sales,Sales Executive,2,Master's Degree,No,42,0,1
35 - 44,Female,42,R&D,Healthcare Representative,4,Master's Degree,No,44,0,1
45 - 54,Female,45,Sales,Manager,1,Master's Degree,No,46,0,1
